names,urls,dates,conversion
"Abad, Timothy",www.newssite.com/7,2019-02-15,0
"Abbott, Haley",www.newssite.com/1,2018-12-10,0
"Abdelsalam, Hannah",www.newssite.com/1,2019-02-10,0
"Abdul-Amin, Shylhil",www.newssite.com/9,2019-02-10,0
"Abdul-Amin, Shylhil",www.newssite.com/7,2019-01-20,0
"Abdul-Amin, Shylhil",www.newssite.com/2,2019-01-08,0
"Abdul-Amin, Shylhil",www.newssite.com/9,2018-11-30,0
"Abell, Alexanderia",www.newssite.com/7,2019-01-14,0
"Abell, Alexanderia",www.newssite.com/9,2019-01-09,0
"Abell, Alexanderia",www.newssite.com/8,2018-12-02,0
"Abeyta, Genessis",www.newssite.com/6,2018-12-19,0
"Abeyta, Reginald",www.newssite.com/9,2019-02-12,0
"Abeyta, Reginald",www.newssite.com/4,2018-12-17,0
"Abo, Alexander",www.newssite.com/7,2019-01-26,0
"Abraas, Nicholas",www.newssite.com/7,2019-01-09,0
"Abraham, Tuan",www.newssite.com/10,2019-01-26,0
"Abraham, Tuan",www.newssite.com/9,2018-12-28,0
"Abraham, Tuan",www.newssite.com/9,2018-12-05,0
"Abram, Katherine",www.newssite.com/10,2019-02-06,1
"Abram, Katherine",www.newssite.com/7,2018-12-27,0
"Abrams, Ryan",www.newssite.com/5,2019-02-03,1
"Abrams, Ryan",www.newssite.com/10,2018-12-12,0
"Abrams, Ryan",www.newssite.com/7,2018-11-27,0
"Abrams, Sage",www.newssite.com/8,2018-12-16,0
"Absher, Dale",www.newssite.com/10,2019-02-12,0
"Absher, Dale",www.newssite.com/9,2018-12-04,0
"Abundis, Emily",www.newssite.com/9,2019-01-29,1
"Abundis, Emily",www.newssite.com/8,2019-01-20,0
"Abundis, Emily",www.newssite.com/8,2018-12-09,0
"Acheampong, Noah",www.newssite.com/8,2019-02-21,0
"Acheampong, Noah",www.newssite.com/10,2018-12-27,0
"Acosta, Anastasia",www.newssite.com/10,2019-01-28,0
"Acosta, Anastasia",www.newssite.com/9,2018-12-16,0
"Acosta, Darrin",www.newssite.com/4,2018-11-29,0
"Acosta, Erik",www.newssite.com/9,2018-12-19,1
"Acosta, Leonard",www.newssite.com/9,2019-01-31,0
"Acosta, Leonard",www.newssite.com/5,2019-01-12,0
"Acosta, Leonard",www.newssite.com/8,2018-12-18,0
"Acosta, Lucas",www.newssite.com/4,2019-02-04,0
